cellI,x,y,z,S,epsilon,k,nut
60864,1.244397759,0.09,0.0007,1.960784e-06,7.522178431,0.06344122445,4.480530399e-06
60865,1.245798319,0.09,0.0007,1.960784e-06,7.521828448,0.06343951991,4.480457918e-06
60866,1.247198879,0.09,0.0007,1.9607854e-06,7.521477911,0.06343781264,4.480385319e-06
60867,1.24859944,0.09,0.0007,1.960784e-06,7.521126749,0.06343610228,4.480312588e-06
60868,1.25,0.09,0.0007,1.960784e-06,7.520774901,0.06343438856,4.480239713e-06
60869,1.25140056,0.09,0.0007,1.960784e-06,7.520422315,0.0634326712,4.480166683e-06
60870,1.25280112,0.09,0.0007,1.9607854e-06,7.52006895,0.06343095001,4.480093489e-06
60871,1.254201681,0.09,0.0007,1.960784e-06,7.519714772,0.06342922483,4.480020124e-06
60872,1.255602241,0.09,0.0007,1.960784e-06,7.519359757,0.06342749553,4.479946583e-06
60873,1.257002801,0.09,0.0007,1.960784e-06,7.519003888,0.06342576204,4.479872863e-06
60874,1.258403361,0.09,0.0007,1.960784e-06,7.518647154,0.0634240243,4.479798962e-06
60875,1.259803922,0.09,0.0007,1.9607854e-06,7.518289552,0.0634222823,4.479724878e-06
60876,1.261204482,0.09,0.0007,1.960784e-06,7.517931085,0.06342053605,4.479650612e-06
60877,1.262605042,0.09,0.0007,1.960784e-06,7.517571761,0.06341878558,4.479576166e-06
60878,1.264005602,0.09,0.0007,1.960784e-06,7.517211591,0.06341703096,4.479501542e-06
60879,1.265406162,0.09,0.0007,1.9607854e-06,7.516850593,0.06341527226,4.479426745e-06
60880,1.266806723,0.09,0.0007,1.960784e-06,7.516488789,0.0634135096,4.479351777e-06
60881,1.268207283,0.09,0.0007,1.960784e-06,7.5161262,0.06341174308,4.479276645e-06
60882,1.269607843,0.09,0.0007,1.960784e-06,7.515762853,0.06340997283,4.479201352e-06
60883,1.271008403,0.09,0.0007,1.960784e-06,7.515398779,0.06340819901,4.479125907e-06
60884,1.272408963,0.09,0.0007,1.9607854e-06,7.515034014,0.06340642177,4.479050316e-06
60885,1.273809524,0.09,0.0007,1.960784e-06,7.514668597,0.06340464133,4.478974587e-06
60886,1.275210084,0.09,0.0007,1.960784e-06,7.514302575,0.06340285789,4.47889873e-06
60887,1.276610644,0.09,0.0007,1.960784e-06,7.513935987,0.06340107166,4.478822753e-06
60888,1.278011205,0.09,0.0007,1.9607854e-06,7.513568874,0.06339928284,4.478746665e-06
60889,1.279411765,0.09,0.0007,1.960784e-06,7.513201277,0.06339749162,4.478670474e-06
60890,1.280812325,0.09,0.0007,1.960784e-06,7.512833238,0.0633956982,4.478594189e-06
60891,1.282212885,0.09,0.0007,1.960784e-06,7.512464798,0.06339390279,4.478517818e-06
60892,1.283613445,0.09,0.0007,1.960784e-06,7.512096003,0.06339210562,4.47844137e-06
60893,1.285014005,0.09,0.0007,1.9607854e-06,7.511726898,0.06339030689,4.478364856e-06
60894,1.286414566,0.09,0.0007,1.960784e-06,7.511357531,0.06338850686,4.478288285e-06
60895,1.287815126,0.09,0.0007,1.960784e-06,7.510987949,0.06338670573,4.478211666e-06
60896,1.289215686,0.09,0.0007,1.960784e-06,7.510618199,0.06338490375,4.478135011e-06
60897,1.290616246,0.09,0.0007,1.9607854e-06,7.510248329,0.06338310114,4.478058327e-06
60898,1.292016807,0.09,0.0007,1.960784e-06,7.509878387,0.06338129814,4.477981626e-06
60899,1.293417367,0.09,0.0007,1.960784e-06,7.509508419,0.06337949498,4.477904917e-06
60900,1.294817927,0.09,0.0007,1.960784e-06,7.509138475,0.0633776919,4.47782821e-06
60901,1.296218488,0.09,0.0007,1.9607854e-06,7.508768601,0.06337588911,4.477751515e-06
60902,1.297619048,0.09,0.0007,1.960784e-06,7.508398844,0.06337408686,4.477674841e-06
60903,1.299019608,0.09,0.0007,1.960784e-06,7.508029251,0.06337228538,4.477598199e-06
60904,1.300420168,0.09,0.0007,1.960784e-06,7.507659869,0.06337048488,4.477521598e-06
60905,1.301820728,0.09,0.0007,1.960784e-06,7.507290743,0.06336868558,4.477445048e-06
60906,1.303221288,0.09,0.0007,1.9607854e-06,7.506921917,0.06336688772,4.477368557e-06
60907,1.304621849,0.09,0.0007,1.960784e-06,7.506553437,0.0633650915,4.477292135e-06
60908,1.306022409,0.09,0.0007,1.960784e-06,7.506185346,0.06336329714,4.477215791e-06
60909,1.307422969,0.09,0.0007,1.960784e-06,7.505817687,0.06336150485,4.477139535e-06
60910,1.30882353,0.09,0.0007,1.9607854e-06,7.505450504,0.06335971483,4.477063374e-06
60911,1.31022409,0.09,0.0007,1.960784e-06,7.505083837,0.0633579273,4.476987318e-06
60912,1.31162465,0.09,0.0007,1.960784e-06,7.504717726,0.06335614244,4.476911374e-06
60913,1.31302521,0.09,0.0007,1.960784e-06,7.504352207,0.06335436043,4.476835551e-06
60914,1.31442577,0.09,0.0007,1.960784e-06,7.503987316,0.06335258144,4.476759855e-06
60915,1.31582633,0.09,0.0007,1.9607854e-06,7.50362309,0.06335080566,4.476684295e-06
60916,1.317226891,0.09,0.0007,1.960784e-06,7.503259565,0.06334903325,4.476608878e-06
60917,1.318627451,0.09,0.0007,1.960784e-06,7.502896778,0.06334726441,4.476533611e-06
60918,1.320028011,0.09,0.0007,1.960784e-06,7.502534762,0.06334549929,4.476458501e-06
60919,1.321428571,0.09,0.0007,1.9607854e-06,7.502173552,0.06334373806,4.476383557e-06
60920,1.322829132,0.09,0.0007,1.960784e-06,7.501813179,0.06334198087,4.476308783e-06
60921,1.324229692,0.09,0.0007,1.960784e-06,7.501453673,0.06334022788,4.476234187e-06
60922,1.325630252,0.09,0.0007,1.960784e-06,7.501095065,0.06333847923,4.476159774e-06
60923,1.327030812,0.09,0.0007,1.960784e-06,7.500737383,0.06333673506,4.476085551e-06
60924,1.328431372,0.09,0.0007,1.9607854e-06,7.500380654,0.0633349955,4.476011524e-06
60925,1.329831933,0.09,0.0007,1.960784e-06,7.500024907,0.06333326069,4.475937697e-06
60926,1.331232493,0.09,0.0007,1.960784e-06,7.499670167,0.06333153076,4.475864078e-06
60927,1.332633053,0.09,0.0007,1.960784e-06,7.499316461,0.06332980583,4.47579067e-06
60928,1.334033613,0.09,0.0007,1.9607854e-06,7.498963812,0.06332808603,4.47571748e-06
60929,1.335434174,0.09,0.0007,1.960784e-06,7.498612245,0.06332637146,4.475644511e-06
60930,1.336834734,0.09,0.0007,1.960784e-06,7.498261782,0.06332466224,4.47557177e-06
60931,1.338235294,0.09,0.0007,1.960784e-06,7.497912445,0.06332295848,4.475499259e-06
60932,1.339635854,0.09,0.0007,1.960784e-06,7.497564254,0.06332126028,4.475426985e-06
60933,1.341036414,0.09,0.0007,1.9607854e-06,7.497217229,0.06331956773,4.47535495e-06
60934,1.342436975,0.09,0.0007,1.960784e-06,7.496871389,0.06331788092,4.475283159e-06
60935,1.343837535,0.09,0.0007,1.960784e-06,7.496526751,0.06331619994,4.475211615e-06
