cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
36153,36553,(0.2675 -0.0475 0.0025),(-0.01059550359 -0.9999438661 0),(-0.01062252708 -0.9999435794 0),0,0.72770606,0.002521202914,0.002470593015,2,3((0.2675261772 -0.04502954567 0.0025) (0.2674470225 -0.05249971933 0.0025) (0.267394039 -0.05749999994 0.0025)),2(35753 35353)
36154,36554,(0.2725 -0.0475 0.0025),(-0.008636651031 -0.9999627034 0),(-0.008659364261 -0.999962507 0),0.27147025,0.73148787,0.002497165669,0.002481050393,2,3((0.272521428 -0.04501904214 0.0025) (0.2724568167 -0.05249981352 0.0025) (0.2724136303 -0.05749999997 0.0025)),2(35754 35354)
36155,36555,(0.2775 -0.0475 0.0025),(-0.00672532183 -0.9999773848 0),(-0.006744017887 -0.9999772589 0),0.27450549,1,0.002477947036,0.002442613126,2,3((0.2775164274 -0.04505744211 0.0025) (0.2774663734 -0.05249988692 0.0025) (0.2774327453 -0.05749999999 0.0025)),2(35755 35355)
36156,36556,(0.2825 -0.0475 0.0025),(-0.004859936988 -0.9999881904 0),(-0.004874884432 -0.9999881177 0),0.27680638,1,0.002463466102,0.002413651258,2,3((0.2825117302 -0.04508637725 0.0025) (0.2824757003 -0.05249994095 0.0025) (0.2824514001 -0.0575 0.0025)),2(35756 35356)
36157,36557,(0.2875 -0.0475 0.0025),(-0.003039001234 -0.9999953822 0),(-0.003050455053 -0.9999953474 0),0.27838034,1,0.002453602971,0.002393924995,2,3((0.2875072751 -0.04510608606 0.0025) (0.287484805 -0.05249997691 0.0025) (0.2874696098 -0.0575 0.0025)),2(35757 35357)
36158,36558,(0.2925 -0.0475 0.0025),(-0.001261094237 -0.9999992048 0),(-0.001269294106 -0.9999991944 0),0.27923966,1,0.002448232551,0.002383184157,2,3((0.2925030054 -0.04511681774 0.0025) (0.2924936945 -0.05249999602 0.0025) (0.292487389 -0.0575 0.0025)),2(35758 35358)
36159,36559,(0.2975 -0.0475 0.0025),(0.0004722402032 -0.9999998885 0),(0.0004699769032 -0.9999998896 0),0.27940104,1,0.002447225119,0.002381169292,2,3((0.2974988755 -0.04511883097 0.0025) (0.2975023612 -0.05249999944 0.0025) (0.2975047224 -0.0575 0.0025)),2(35759 35359)
36160,36560,(0.3025 -0.0475 0.0025),(0.002171014668 -0.9999976433 0),(0.002168683482 -0.9999976484 0),0.27887235,1,0.002450526855,0.002387772765,2,3((0.3024948161 -0.04511223286 0.0025) (0.3025108551 -0.05249998822 0.0025) (0.3025217102 -0.0575 0.0025)),2(35760 35360)
36161,36561,(0.3075 -0.0475 0.0025),(0.003827769134 -0.9999926741 0),(0.00382807377 -0.9999926729 0),0.27767807,1,0.002457999452,0.002402717959,2,3((0.307490803 -0.04509729964 0.0025) (0.3075191388 -0.05249996337 0.0025) (0.307538278 -0.0575 0.0025)),2(35761 35361)
36162,36562,(0.3125 -0.0475 0.0025),(0.005446594089 -0.9999851672 0),(0.005449354016 -0.9999851522 0),0.27583081,1,0.002469596833,0.002425912721,2,3((0.312486787 -0.04507412326 0.0025) (0.312527233 -0.05249992584 0.0025) (0.3125544667 -0.0575 0.0025)),2(35762 35362)
36163,36563,(0.3175 -0.0475 0.0025),(0.007028621277 -0.9999752989 0),(0.007033665272 -0.9999752635 0),0.2733629,1,0.00248516608,0.002457051215,2,3((0.3174827303 -0.04504300948 0.0025) (0.3175351431 -0.05249987649 0.0025) (0.3175702879 -0.05749999999 0.0025)),2(35763 35363)
36164,36564,(0.3225 -0.0475 0.0025),(0.008574945716 -0.9999632345 0),(0.008582110059 -0.999963173 0),0.2702942,0.73031463,0.002504648383,0.002496015821,2,3((0.3224785968 -0.04500407595 0.0025) (0.3225428747 -0.05249981617 0.0025) (0.3225857526 -0.05749999997 0.0025)),2(35764 35364)
36165,36565,(0.3275 -0.0475 0.0025),(0.01008662038 -0.9999491288 0),(0.01009575055 -0.9999490366 0),0,0.72664189,0.002527957153,0.002457111822,2,3((0.327475216 -0.04504301317 0.0025) (0.3275504331 -0.05249974564 0.0025) (0.3276008713 -0.05749999995 0.0025)),2(35765 35365)
36166,36566,(0.3325 -0.0475 0.0025),(0.0115646684 -0.999933127 0),(0.01157563221 -0.9999330001 0),0,0.72234236,0.002554985992,0.002402973963,2,3((0.3324722104 -0.04509718673 0.0025) (0.3325578233 -0.05249966564 0.0025) (0.3326156544 -0.05749999991 0.0025)),2(35766 35366)
36167,36567,(0.3375 -0.0475 0.0025),(0.0130100759 -0.9999153654 0),(0.01302258882 -0.9999152025 0),0,0.71741314,0.002585659391,0.002341538176,2,3((0.3374695364 -0.04515866 0.0025) (0.3375650504 -0.05249957683 0.0025) (0.3376301118 -0.05749999986 0.0025)),2(35767 35367)
36168,36568,(0.3425 -0.0475 0.0025),(0.01442395058 -0.9998959694 0),(0.01443824466 -0.9998957631 0),0,0.71184019,0.002619951882,0.002272855996,2,3((0.3424672164 -0.04522738045 0.0025) (0.3425721198 -0.05249947985 0.0025) (0.3426442545 -0.05749999978 0.0025)),2(35768 35368)
36169,36569,(0.3475 -0.0475 0.0025),(0.01580614994 -0.999875075 0),(0.01582582803 -0.9998747637 0),0,0.70563185,0.002657693807,0.002197267151,2,3((0.3474652697 -0.04530300734 0.0025) (0.3475790307 -0.05249937538 0.0025) (0.3476580812 -0.05749999969 0.0025)),2(35769 35369)
36170,36570,(0.3525 -0.0475 0.0025),(0.01715984971 -0.9998527589 0),(0.01718020925 -0.9998524093 0),0,0.69877588,0.00269883934,0.002114864313,2,3((0.3524637092 -0.04538544708 0.0025) (0.3525857992 -0.05249926379 0.0025) (0.3526716238 -0.05749999957 0.0025)),2(35770 35370)
36171,36571,(0.3575 -0.0475 0.0025),(0.01848167029 -0.9998291993 0),(0.01850548835 -0.9998287588 0),0,0.69125172,0.002743388142,0.002025648456,2,3((0.3574625626 -0.04547469753 0.0025) (0.3575924084 -0.052499146 0.0025) (0.3576848483 -0.05749999942 0.0025)),2(35771 35371)
36172,36572,(0.3625 -0.0475 0.0025),(0.01977740812 -0.9998044079 0),(0.01980049453 -0.999803951 0),0,0.68306477,0.002791185863,0.001929928974,2,3((0.362461831 -0.0455704485 0.0025) (0.362598887 -0.05249902204 0.0025) (0.3626978128 -0.05749999923 0.0025)),2(35772 35372)
36173,36573,(0.3675 -0.0475 0.0025),(0.02104566804 -0.9997785154 0),(0.02106780213 -0.9997780492 0),0,0.67420806,0.002842156363,0.001827858466,2,3((0.3674615315 -0.04567254638 0.0025) (0.3676052283 -0.05249889258 0.0025) (0.3677105033 -0.05749999902 0.0025)),2(35773 35373)
36174,36574,(0.3725 -0.0475 0.0025),(0.02228720862 -0.9997516093 0),(0.0223100296 -0.9997511003 0),0,0.66466359,0.00289629167,0.001719453107,2,3((0.3724616782 -0.04578097399 0.0025) (0.372611436 -0.05249875805 0.0025) (0.3727229274 -0.05749999877 0.0025)),2(35774 35374)
