cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
5465,(0.03444658945 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.03444658945 0.01 0.00065) (0.03444658945 0.01155827869 0.00065) (0.03444658945 0.01285483607 0.00065)),2(6242 7019)
5466,(0.03574646075 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.03574646075 0.01 0.00065) (0.03574646075 0.01155827869 0.00065) (0.03574646075 0.01285483606 0.00065)),2(6243 7020)
5467,(0.03704633205 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.03704633205 0.01 0.00065) (0.03704633205 0.01155827869 0.00065) (0.03704633205 0.01285483606 0.00065)),2(6244 7021)
5468,(0.03834620335 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.03834620335 0.01 0.00065) (0.03834620335 0.01155827869 0.00065) (0.03834620335 0.01285483606 0.00065)),2(6245 7022)
5469,(0.03964607465 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.03964607465 0.01 0.00065) (0.03964607465 0.01155827869 0.00065) (0.03964607465 0.01285483606 0.00065)),2(6246 7023)
5470,(0.04094594595 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04094594595 0.01 0.00065) (0.04094594595 0.01155827869 0.00065) (0.04094594595 0.01285483607 0.00065)),2(6247 7024)
5471,(0.04224581725 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04224581725 0.01 0.00065) (0.04224581725 0.01155827869 0.00065) (0.04224581725 0.01285483606 0.00065)),2(6248 7025)
5472,(0.04354568855 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04354568855 0.01 0.00065) (0.04354568855 0.01155827869 0.00065) (0.04354568855 0.01285483607 0.00065)),2(6249 7026)
5473,(0.04484555985 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04484555985 0.01 0.00065) (0.04484555985 0.01155827869 0.00065) (0.04484555985 0.01285483607 0.00065)),2(6250 7027)
5474,(0.04614543115 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04614543115 0.01 0.00065) (0.04614543115 0.01155827869 0.00065) (0.04614543115 0.01285483606 0.00065)),2(6251 7028)
5475,(0.04744530245 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04744530245 0.01 0.00065) (0.04744530245 0.01155827869 0.00065) (0.04744530245 0.01285483606 0.00065)),2(6252 7029)
5476,(0.04874517375 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.04874517375 0.01 0.00065) (0.04874517375 0.01155827869 0.00065) (0.04874517375 0.01285483606 0.00065)),2(6253 7030)
5477,(0.05004504505 0.010228125 0.00065),(0 1 0),0.4150482975,0.0002281250001,2,3((0.05004504505 0.01 0.00065) (0.05004504505 0.01155827869 0.00065) (0.05004504505 0.01285483606 0.00065)),2(6254 7031)
5478,(0.05134491634 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05134491634 0.01 0.00065) (0.05134491634 0.01155827869 0.00065) (0.05134491634 0.01285483607 0.00065)),2(6255 7032)
5479,(0.05264478764 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05264478764 0.01 0.00065) (0.05264478764 0.01155827869 0.00065) (0.05264478764 0.01285483606 0.00065)),2(6256 7033)
5480,(0.05394465894 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05394465894 0.01 0.00065) (0.05394465894 0.01155827869 0.00065) (0.05394465894 0.01285483606 0.00065)),2(6257 7034)
5481,(0.05524453024 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05524453024 0.01 0.00065) (0.05524453024 0.01155827869 0.00065) (0.05524453024 0.01285483606 0.00065)),2(6258 7035)
5482,(0.05654440154 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05654440154 0.01 0.00065) (0.05654440154 0.01155827869 0.00065) (0.05654440154 0.01285483607 0.00065)),2(6259 7036)
5483,(0.05784427284 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05784427284 0.01 0.00065) (0.05784427284 0.01155827869 0.00065) (0.05784427284 0.01285483606 0.00065)),2(6260 7037)
5484,(0.05914414414 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.05914414414 0.01 0.00065) (0.05914414414 0.01155827869 0.00065) (0.05914414414 0.01285483606 0.00065)),2(6261 7038)
5485,(0.06044401544 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06044401544 0.01 0.00065) (0.06044401544 0.01155827869 0.00065) (0.06044401544 0.01285483607 0.00065)),2(6262 7039)
5486,(0.06174388674 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06174388674 0.01 0.00065) (0.06174388674 0.01155827869 0.00065) (0.06174388674 0.01285483606 0.00065)),2(6263 7040)
5487,(0.06304375804 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06304375804 0.01 0.00065) (0.06304375804 0.01155827869 0.00065) (0.06304375804 0.01285483606 0.00065)),2(6264 7041)
5488,(0.06434362934 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06434362934 0.01 0.00065) (0.06434362934 0.01155827869 0.00065) (0.06434362934 0.01285483606 0.00065)),2(6265 7042)
5489,(0.06564350064 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06564350064 0.01 0.00065) (0.06564350064 0.01155827869 0.00065) (0.06564350064 0.01285483607 0.00065)),2(6266 7043)
5490,(0.06694337194 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06694337194 0.01 0.00065) (0.06694337194 0.01155827869 0.00065) (0.06694337194 0.01285483606 0.00065)),2(6267 7044)
5491,(0.06824324324 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06824324324 0.01 0.00065) (0.06824324324 0.01155827869 0.00065) (0.06824324324 0.01285483606 0.00065)),2(6268 7045)
5492,(0.06954311454 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.06954311454 0.01 0.00065) (0.06954311454 0.01155827869 0.00065) (0.06954311454 0.01285483607 0.00065)),2(6269 7046)
5493,(0.07084298584 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07084298584 0.01 0.00065) (0.07084298584 0.01155827869 0.00065) (0.07084298584 0.01285483606 0.00065)),2(6270 7047)
5494,(0.07214285714 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07214285714 0.01 0.00065) (0.07214285714 0.01155827869 0.00065) (0.07214285714 0.01285483606 0.00065)),2(6271 7048)
5495,(0.07344272844 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07344272844 0.01 0.00065) (0.07344272844 0.01155827869 0.00065) (0.07344272844 0.01285483606 0.00065)),2(6272 7049)
5496,(0.07474259974 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07474259974 0.01 0.00065) (0.07474259974 0.01155827869 0.00065) (0.07474259974 0.01285483606 0.00065)),2(6273 7050)
5497,(0.07604247104 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07604247104 0.01 0.00065) (0.07604247104 0.01155827869 0.00065) (0.07604247104 0.01285483606 0.00065)),2(6274 7051)
5498,(0.07734234234 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07734234234 0.01 0.00065) (0.07734234234 0.01155827869 0.00065) (0.07734234234 0.01285483607 0.00065)),2(6275 7052)
5499,(0.07864221364 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07864221364 0.01 0.00065) (0.07864221364 0.01155827869 0.00065) (0.07864221364 0.01285483606 0.00065)),2(6276 7053)
5500,(0.07994208494 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.07994208494 0.01 0.00065) (0.07994208494 0.01155827869 0.00065) (0.07994208494 0.01285483606 0.00065)),2(6277 7054)
5501,(0.08124195624 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08124195624 0.01 0.00065) (0.08124195624 0.01155827869 0.00065) (0.08124195624 0.01285483606 0.00065)),2(6278 7055)
5502,(0.08254182754 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08254182754 0.01 0.00065) (0.08254182754 0.01155827869 0.00065) (0.08254182754 0.01285483606 0.00065)),2(6279 7056)
5503,(0.08384169884 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08384169884 0.01 0.00065) (0.08384169884 0.01155827869 0.00065) (0.08384169884 0.01285483606 0.00065)),2(6280 7057)
5504,(0.08514157014 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08514157014 0.01 0.00065) (0.08514157014 0.01155827869 0.00065) (0.08514157014 0.01285483606 0.00065)),2(6281 7058)
5505,(0.08644144144 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08644144144 0.01 0.00065) (0.08644144144 0.01155827869 0.00065) (0.08644144144 0.01285483606 0.00065)),2(6282 7059)
5506,(0.08774131274 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08774131274 0.01 0.00065) (0.08774131274 0.01155827869 0.00065) (0.08774131274 0.01285483606 0.00065)),2(6283 7060)
