cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
5455,4678,(0.02144787645 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02144787645 0.01 0.00065) (0.02144787645 0.01155827869 0.00065) (0.02144787645 0.01285483606 0.00065)),2(6232 7009)
5456,4679,(0.02274774775 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02274774775 0.01 0.00065) (0.02274774775 0.01155827869 0.00065) (0.02274774775 0.01285483607 0.00065)),2(6233 7010)
5457,4680,(0.02404761905 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02404761905 0.01 0.00065) (0.02404761905 0.01155827869 0.00065) (0.02404761905 0.01285483606 0.00065)),2(6234 7011)
5458,4681,(0.02534749035 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02534749035 0.01 0.00065) (0.02534749035 0.01155827869 0.00065) (0.02534749035 0.01285483607 0.00065)),2(6235 7012)
5459,4682,(0.02664736165 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02664736165 0.01 0.00065) (0.02664736165 0.01155827869 0.00065) (0.02664736165 0.01285483606 0.00065)),2(6236 7013)
5460,4683,(0.02794723295 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02794723295 0.01 0.00065) (0.02794723295 0.01155827869 0.00065) (0.02794723295 0.01285483607 0.00065)),2(6237 7014)
5461,4684,(0.02924710425 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.02924710425 0.01 0.00065) (0.02924710425 0.01155827869 0.00065) (0.02924710425 0.01285483606 0.00065)),2(6238 7015)
5462,4685,(0.03054697555 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03054697555 0.01 0.00065) (0.03054697555 0.01155827869 0.00065) (0.03054697555 0.01285483607 0.00065)),2(6239 7016)
5463,4686,(0.03184684685 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03184684685 0.01 0.00065) (0.03184684685 0.01155827869 0.00065) (0.03184684685 0.01285483607 0.00065)),2(6240 7017)
5464,4687,(0.03314671815 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03314671815 0.01 0.00065) (0.03314671815 0.01155827869 0.00065) (0.03314671815 0.01285483606 0.00065)),2(6241 7018)
5465,4688,(0.03444658945 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03444658945 0.01 0.00065) (0.03444658945 0.01155827869 0.00065) (0.03444658945 0.01285483607 0.00065)),2(6242 7019)
5466,4689,(0.03574646075 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03574646075 0.01 0.00065) (0.03574646075 0.01155827869 0.00065) (0.03574646075 0.01285483606 0.00065)),2(6243 7020)
5467,4690,(0.03704633205 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03704633205 0.01 0.00065) (0.03704633205 0.01155827869 0.00065) (0.03704633205 0.01285483606 0.00065)),2(6244 7021)
5468,4691,(0.03834620335 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03834620335 0.01 0.00065) (0.03834620335 0.01155827869 0.00065) (0.03834620335 0.01285483606 0.00065)),2(6245 7022)
5469,4692,(0.03964607465 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.03964607465 0.01 0.00065) (0.03964607465 0.01155827869 0.00065) (0.03964607465 0.01285483606 0.00065)),2(6246 7023)
