cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
7011,(0.02404761905 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.02404761905 0.01015325682 0.00065) (0.02404761905 0.01155827869 0.00065) (0.02404761905 0.01285483606 0.00065)),2(7788 8565)
7012,(0.02534749035 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.02534749035 0.01015325682 0.00065) (0.02534749035 0.01155827869 0.00065) (0.02534749035 0.01285483607 0.00065)),2(7789 8566)
7013,(0.02664736165 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.02664736165 0.01015325682 0.00065) (0.02664736165 0.01155827869 0.00065) (0.02664736165 0.01285483606 0.00065)),2(7790 8567)
7014,(0.02794723295 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.02794723295 0.01015325682 0.00065) (0.02794723295 0.01155827869 0.00065) (0.02794723295 0.01285483607 0.00065)),2(7791 8568)
7015,(0.02924710425 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.02924710425 0.01015325682 0.00065) (0.02924710425 0.01155827869 0.00065) (0.02924710425 0.01285483606 0.00065)),2(7792 8569)
7016,(0.03054697555 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03054697555 0.01015325682 0.00065) (0.03054697555 0.01155827869 0.00065) (0.03054697555 0.01285483607 0.00065)),2(7793 8570)
7017,(0.03184684685 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03184684685 0.01015325682 0.00065) (0.03184684685 0.01155827869 0.00065) (0.03184684685 0.01285483607 0.00065)),2(7794 8571)
7018,(0.03314671815 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03314671815 0.01015325682 0.00065) (0.03314671815 0.01155827869 0.00065) (0.03314671815 0.01285483606 0.00065)),2(7795 8572)
7019,(0.03444658945 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03444658945 0.01015325682 0.00065) (0.03444658945 0.01155827869 0.00065) (0.03444658945 0.01285483607 0.00065)),2(7796 8573)
7020,(0.03574646075 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03574646075 0.01015325682 0.00065) (0.03574646075 0.01155827869 0.00065) (0.03574646075 0.01285483606 0.00065)),2(7797 8574)
7021,(0.03704633205 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03704633205 0.01015325682 0.00065) (0.03704633205 0.01155827869 0.00065) (0.03704633205 0.01285483606 0.00065)),2(7798 8575)
7022,(0.03834620335 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03834620335 0.01015325682 0.00065) (0.03834620335 0.01155827869 0.00065) (0.03834620335 0.01285483606 0.00065)),2(7799 8576)
7023,(0.03964607465 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.03964607465 0.01015325682 0.00065) (0.03964607465 0.01155827869 0.00065) (0.03964607465 0.01285483606 0.00065)),2(7800 8577)
7024,(0.04094594595 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04094594595 0.01015325682 0.00065) (0.04094594595 0.01155827869 0.00065) (0.04094594595 0.01285483607 0.00065)),2(7801 8578)
7025,(0.04224581725 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04224581725 0.01015325682 0.00065) (0.04224581725 0.01155827869 0.00065) (0.04224581725 0.01285483606 0.00065)),2(7802 8579)
7026,(0.04354568855 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04354568855 0.01015325682 0.00065) (0.04354568855 0.01155827869 0.00065) (0.04354568855 0.01285483607 0.00065)),2(7803 8580)
7027,(0.04484555985 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04484555985 0.01015325682 0.00065) (0.04484555985 0.01155827869 0.00065) (0.04484555985 0.01285483607 0.00065)),2(7804 8581)
7028,(0.04614543115 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04614543115 0.01015325682 0.00065) (0.04614543115 0.01155827869 0.00065) (0.04614543115 0.01285483606 0.00065)),2(7805 8582)
7029,(0.04744530245 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04744530245 0.01015325682 0.00065) (0.04744530245 0.01155827869 0.00065) (0.04744530245 0.01285483606 0.00065)),2(7806 8583)
7030,(0.04874517375 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.04874517375 0.01015325682 0.00065) (0.04874517375 0.01155827869 0.00065) (0.04874517375 0.01285483606 0.00065)),2(7807 8584)
7031,(0.05004504505 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078734e-06,2,3((0.05004504505 0.01015325682 0.00065) (0.05004504505 0.01155827869 0.00065) (0.05004504505 0.01285483606 0.00065)),2(7808 8585)
7032,(0.05134491634 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05134491634 0.01015325682 0.00065) (0.05134491634 0.01155827869 0.00065) (0.05134491634 0.01285483607 0.00065)),2(7809 8586)
7033,(0.05264478764 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05264478764 0.01015325682 0.00065) (0.05264478764 0.01155827869 0.00065) (0.05264478764 0.01285483606 0.00065)),2(7810 8587)
7034,(0.05394465894 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05394465894 0.01015325682 0.00065) (0.05394465894 0.01155827869 0.00065) (0.05394465894 0.01285483606 0.00065)),2(7811 8588)
7035,(0.05524453024 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05524453024 0.01015325682 0.00065) (0.05524453024 0.01155827869 0.00065) (0.05524453024 0.01285483606 0.00065)),2(7812 8589)
7036,(0.05654440154 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05654440154 0.01015325682 0.00065) (0.05654440154 0.01155827869 0.00065) (0.05654440154 0.01285483607 0.00065)),2(7813 8590)
7037,(0.05784427284 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05784427284 0.01015325682 0.00065) (0.05784427284 0.01155827869 0.00065) (0.05784427284 0.01285483606 0.00065)),2(7814 8591)
7038,(0.05914414414 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.05914414414 0.01015325682 0.00065) (0.05914414414 0.01155827869 0.00065) (0.05914414414 0.01285483606 0.00065)),2(7815 8592)
7039,(0.06044401544 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06044401544 0.01015325682 0.00065) (0.06044401544 0.01155827869 0.00065) (0.06044401544 0.01285483607 0.00065)),2(7816 8593)
7040,(0.06174388674 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06174388674 0.01015325682 0.00065) (0.06174388674 0.01155827869 0.00065) (0.06174388674 0.01285483606 0.00065)),2(7817 8594)
7041,(0.06304375804 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06304375804 0.01015325682 0.00065) (0.06304375804 0.01155827869 0.00065) (0.06304375804 0.01285483606 0.00065)),2(7818 8595)
7042,(0.06434362934 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06434362934 0.01015325682 0.00065) (0.06434362934 0.01155827869 0.00065) (0.06434362934 0.01285483606 0.00065)),2(7819 8596)
7043,(0.06564350064 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06564350064 0.01015325682 0.00065) (0.06564350064 0.01155827869 0.00065) (0.06564350064 0.01285483607 0.00065)),2(7820 8597)
7044,(0.06694337194 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06694337194 0.01015325682 0.00065) (0.06694337194 0.01155827869 0.00065) (0.06694337194 0.01285483606 0.00065)),2(7821 8598)
7045,(0.06824324324 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06824324324 0.01015325682 0.00065) (0.06824324324 0.01155827869 0.00065) (0.06824324324 0.01285483606 0.00065)),2(7822 8599)
7046,(0.06954311454 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.06954311454 0.01015325682 0.00065) (0.06954311454 0.01155827869 0.00065) (0.06954311454 0.01285483607 0.00065)),2(7823 8600)
7047,(0.07084298584 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07084298584 0.01015325682 0.00065) (0.07084298584 0.01155827869 0.00065) (0.07084298584 0.01285483606 0.00065)),2(7824 8601)
